Date,Load,Load.1,Load.7,Net_demand,Solar_power,Wind_power,Temp,Temp_s95,Temp_s99,Temp_s95_min,Temp_s95_max,Temp_s99_min,Temp_s99_max,Wind,Wind_weighted,Nebulosity,Nebulosity_weighted,toy,WeekDays,BH_before,BH,BH_after,Year,Month,DLS,Summer_break,Christmas_break,Holiday,Holiday_zone_a,Holiday_zone_b,Holiday_zone_c,BH_Holiday,Solar_power.1,Solar_power.7,Wind_power.1,Wind_power.7,Net_demand.1,Net_demand.7
2013-03-02,69902.9791666667,76353.2083333333,78166.125,68453,398.854166666667,1051.125,276.243538912842,276.528356452066,275.98326332807,276.14311212592,276.914295312045,275.875080034564,276.116254060165,3.59109444979143,3.45281317070281,85.9542868396703,71.8951528592647,0.167,5,0,0,0,2013,3,0,0,0,1,1,1,1,11,398.854166666667,398.854166666667,1051.125,1051.125,68453,68453
2013-03-03,64929.25,69902.9791666667,75368.0208333333,63047.8958333333,633.291666666667,1248.0625,276.945418177987,276.480770570173,276.092675072353,275.053924407287,278.136640608859,275.755785317773,276.505025447635,3.06105487436036,3.26704803110457,54.1531477328932,49.183061889657,0.169,6,0,0,0,2013,3,0,0,0,1,1,1,1,11,398.854166666667,633.291666666667,1051.125,1248.0625,68453,63047.8958333333
2013-03-04,69275.4375,64929.25,80191.6041666667,65816.0416666667,651.6875,2807.70833333333,280.044604446507,278.478490647207,276.868221916673,275.767388628369,281.543954161505,276.169372295325,278.000775686661,3.97354961468697,3.92793685528922,36.6069253446513,46.0547041291209,0.172,0,0,0,0,2013,3,0,0,0,1,1,0,1,1,633.291666666667,651.6875,1248.0625,2807.70833333333,63047.8958333333,65816.0416666667
2013-03-05,66720,69275.4375,79539.1875,63442.8541666667,285.729166666667,2991.41666666667,282.979149921273,282.078125455899,278.864944434382,280.533954145531,283.842078472493,278.02530443879,279.995541983335,5.16703115086795,4.41815454750883,79.390923186684,88.976808930459,0.175,1,0,0,0,2013,3,0,0,0,1,1,0,1,1,651.6875,285.729166666667,2807.70833333333,2991.41666666667,65816.0416666667,63442.8541666667
2013-03-06,64401.1666666667,66720,78255.4166666667,62736.5833333333,210.541666666667,1454.04166666667,283.428550714628,283.405605886597,280.646612151652,282.617220053544,284.141239989642,280.019944706215,281.344360680536,3.5751667281632,3.01111651776974,94.2884183854543,94.5196074256772,0.178,2,0,0,0,2013,3,0,0,0,1,1,0,1,1,285.729166666667,210.541666666667,2991.41666666667,1454.04166666667,63442.8541666667,62736.5833333333
2013-03-07,62280.5,64401.1666666667,76667.6458333333,60916.0625,385.541666666667,978.895833333333,284.306432794804,283.908847115831,281.851486641829,282.797725752411,285.11834782195,281.354722423016,282.534637603191,3.09603704328439,3.05077186402213,91.1788194648276,88.973992588289,0.18,3,0,0,0,2013,3,0,0,0,1,1,0,1,1,210.541666666667,385.541666666667,1454.04166666667,978.895833333333,62736.5833333333,60916.0625
2013-03-08,60708.7708333333,62280.5,76353.2083333333,58310.8541666667,364.833333333333,2033.08333333333,284.086415344636,284.299812765641,282.82597157826,283.637710280443,284.950436292939,282.540990696226,283.17785384042,3.61892759288273,3.6609996766004,88.648769196266,86.0908643361239,0.183,4,0,0,0,2013,3,0,0,0,1,1,0,1,1,385.541666666667,364.833333333333,978.895833333333,2033.08333333333,60916.0625,58310.8541666667
2013-03-09,54653.7916666667,60708.7708333333,69902.9791666667,53310.875,482.5,860.416666666667,283.147618493206,283.486834032992,283.084836202458,282.400855178216,284.529675973116,282.829385654671,283.340276536267,2.56221179535167,2.98640774027229,78.7240443493639,75.9822549456011,0.186,5,0,0,0,2013,3,0,0,0,1,1,0,1,11,364.833333333333,398.854166666667,2033.08333333333,1051.125,58310.8541666667,68453
2013-03-10,53821.6458333333,54653.7916666667,64929.25,52531.3958333333,458.5,831.75,280.951139457286,281.786196588894,282.661594880261,280.995093596414,283.146618622309,282.346890031869,283.146168555087,3.24738893885282,3.46637954627887,85.0286950745981,79.7475525849184,0.189,6,0,0,0,2013,3,0,0,0,1,1,0,1,11,482.5,633.291666666667,860.416666666667,1248.0625,53310.875,63047.8958333333
2013-03-11,66030.0208333333,53821.6458333333,69275.4375,62802.7916666667,409.104166666667,2818.125,278.82955378795,279.745502818728,281.608802120218,278.879536557935,281.070301970114,280.999375688951,282.310714044793,5.09245928140622,5.44523950156243,90.0717032867224,83.9027971115537,0.191,0,0,0,0,2013,3,0,0,0,1,0,0,1,1,458.5,651.6875,831.75,2807.70833333333,52531.3958333333,65816.0416666667
2013-03-12,72171.8958333333,66030.0208333333,66720,68570.5625,305.1875,3296.14583333333,275.844361268156,277.149640720654,279.991581409908,275.581988467414,278.782646917163,278.98860228689,280.958799369487,5.36039280186048,5.81806123026618,91.072859810059,88.4406911914475,0.194,1,0,0,0,2013,3,0,0,0,1,0,0,1,1,409.104166666667,285.729166666667,2818.125,2991.41666666667,62802.7916666667,63442.8541666667
2013-03-13,76220.1875,72171.8958333333,64401.1666666667,74526.2708333333,311.375,1382.54166666667,273.930849137932,274.339246757341,277.810891268563,273.461470206433,275.449740482297,277.107369738705,278.928086551671,4.23397011396968,3.88796416279339,79.011136287111,81.939824280274,0.197,2,0,0,0,2013,3,0,0,0,1,0,0,1,1,305.1875,210.541666666667,3296.14583333333,1454.04166666667,68570.5625,62736.5833333333
2013-03-14,75862.4583333333,76220.1875,62280.5,73828.7708333333,515.270833333333,1518.41666666667,274.733690216683,274.641646650389,276.556903431434,273.72506007286,275.590734605775,276.223387573977,277.070577916232,4.86173545517139,3.8695780992846,62.0092671316541,64.1478736550352,0.199,3,0,0,0,2013,3,0,0,0,1,0,0,1,1,311.375,385.541666666667,1382.54166666667,978.895833333333,74526.2708333333,60916.0625
2013-03-15,75378.1041666667,75862.4583333333,60708.7708333333,72293.25,733.25,2351.60416666667,275.662251515182,274.956885128328,275.878386621423,273.159588993222,276.829250088419,275.551320118554,276.184152647563,4.52412112251929,4.20413261952283,57.7141191431227,47.6250808427057,0.202,4,0,0,0,2013,3,0,0,0,1,0,0,1,1,515.270833333333,364.833333333333,1518.41666666667,2033.08333333333,73828.7708333333,58310.8541666667
2013-03-16,67601.8333333333,75378.1041666667,54653.7916666667,62910.375,462.604166666667,4228.85416666667,278.395798752206,277.307561638138,276.361445875237,275.427453946212,279.323838572532,275.888532286183,277.104947705239,5.41461040625486,5.61589624826425,80.9132559187225,77.3225120395023,0.205,5,0,0,0,2013,3,0,0,0,1,0,0,1,11,733.25,482.5,2351.60416666667,860.416666666667,72293.25,53310.875
2013-03-17,62052.3541666667,67601.8333333333,53821.6458333333,58799.4375,231.5625,3021.35416666667,279.615116398693,279.59485266785,277.648042995029,279.114936188906,280.218442712257,277.124999557163,278.070025255881,5.24863899738499,4.92187706116633,84.4435850676555,89.1828138194512,0.208,6,0,0,0,2013,3,0,0,0,1,0,0,1,11,462.604166666667,458.5,4228.85416666667,831.75,62910.375,52531.3958333333
2013-03-18,70008.8541666667,62052.3541666667,66030.0208333333,67543.3958333333,428.125,2037.33333333333,278.564906312954,278.768835675015,278.096217978958,277.960204067926,279.390264511816,277.882716436875,278.310366428152,4.3927641246018,4.05637252370212,80.3944126431117,80.4611837767859,0.21,0,0,0,0,2013,3,0,0,0,0,0,0,0,0,231.5625,409.104166666667,3021.35416666667,2818.125,58799.4375,62802.7916666667
2013-03-19,69795.7916666667,70008.8541666667,72171.8958333333,67473.3125,542.645833333333,1779.83333333333,279.684963311851,279.229017956765,278.47182020999,278.028056923961,280.436623055299,278.151005393386,278.874435702305,3.87422639356204,3.7312962581865,84.7355312850418,82.9115553052775,0.213,1,0,0,0,2013,3,0,0,0,0,0,0,0,0,428.125,305.1875,2037.33333333333,3296.14583333333,67543.3958333333,68570.5625
2013-03-20,68484.4375,69795.7916666667,76220.1875,65975.875,539.979166666667,1968.58333333333,279.920696005999,279.960932300424,279.061216326919,279.172985763598,280.868530197798,278.820647752747,279.378210768007,3.89078590577836,3.88478328924831,77.2554156562126,72.0275068105443,0.216,2,0,0,0,2013,3,0,0,0,0,0,0,0,0,542.645833333333,311.375,1779.83333333333,1382.54166666667,67473.3125,74526.2708333333
2013-03-21,67926.3333333333,68484.4375,75862.4583333333,66263.4166666667,618.083333333333,1044.83333333333,280.183244508975,279.744334593493,279.277066114971,278.120254155618,281.341740650912,278.904269323344,279.730524989844,3.18788057742061,3.26640543522593,77.8164351177456,67.0661905662653,0.219,3,0,0,0,2013,3,0,0,0,0,0,0,0,0,539.979166666667,515.270833333333,1968.58333333333,1518.41666666667,65975.875,73828.7708333333
2013-03-22,63973.9583333333,67926.3333333333,75378.1041666667,60305.1875,582.25,3086.52083333333,282.34554633714,281.544288981271,280.081035737177,279.64996729972,283.472866744558,279.561492519945,280.828134862849,4.28049718908423,4.669507215714,83.0084175957398,82.5445860629949,0.221,4,0,0,0,2013,3,0,0,0,0,0,0,0,0,618.083333333333,733.25,1044.83333333333,2351.60416666667,66263.4166666667,72293.25
2013-03-23,57344.25,63973.9583333333,67601.8333333333,55221.3333333333,345.958333333333,1776.95833333333,281.620261323772,282.10582423894,280.954637210787,281.455856812728,282.940727704154,280.759053625835,281.202996518816,3.59576568134347,3.93081038654574,90.5501538308866,88.6445655278859,0.224,5,0,0,0,2013,3,0,0,0,0,0,0,0,10,582.25,462.604166666667,3086.52083333333,4228.85416666667,60305.1875,62910.375
2013-03-24,56390.9375,57344.25,62052.3541666667,54188.3541666667,342.791666666667,1859.79166666667,279.746500596294,280.49869392573,280.837934735791,279.906293066991,281.702341976343,280.621681516661,281.136573002864,4.29438955061809,4.63519793488143,92.9069135577915,88.9358468683477,0.227,6,0,0,0,2013,3,0,0,0,0,0,0,0,10,345.958333333333,231.5625,1776.95833333333,3021.35416666667,55221.3333333333,58799.4375
