Date,ConfirmedCases,ConfirmedDeaths,StringencyIndex_Average,GovernmentResponseIndex_Average,ContainmentHealthIndex_Average,EconomicSupportIndex
2013-03-02,0,0,0,0,0,0
2013-03-03,0,0,0,0,0,0
2013-03-04,0,0,0,0,0,0
2013-03-05,0,0,0,0,0,0
2013-03-06,0,0,0,0,0,0
2013-03-07,0,0,0,0,0,0
2013-03-08,0,0,0,0,0,0
2013-03-09,0,0,0,0,0,0
2013-03-10,0,0,0,0,0,0
2013-03-11,0,0,0,0,0,0
2013-03-12,0,0,0,0,0,0
2013-03-13,0,0,0,0,0,0
2013-03-14,0,0,0,0,0,0
2013-03-15,0,0,0,0,0,0
2013-03-16,0,0,0,0,0,0
2013-03-17,0,0,0,0,0,0
2013-03-18,0,0,0,0,0,0
2013-03-19,0,0,0,0,0,0
2013-03-20,0,0,0,0,0,0
2013-03-21,0,0,0,0,0,0
2013-03-22,0,0,0,0,0,0
2013-03-23,0,0,0,0,0,0
2013-03-24,0,0,0,0,0,0
2013-03-25,0,0,0,0,0,0
2013-03-26,0,0,0,0,0,0
2013-03-27,0,0,0,0,0,0
2013-03-28,0,0,0,0,0,0
2013-03-29,0,0,0,0,0,0
2013-03-30,0,0,0,0,0,0
2013-03-31,0,0,0,0,0,0
2013-04-01,0,0,0,0,0,0
2013-04-02,0,0,0,0,0,0
2013-04-03,0,0,0,0,0,0
2013-04-04,0,0,0,0,0,0
2013-04-05,0,0,0,0,0,0
2013-04-06,0,0,0,0,0,0
2013-04-07,0,0,0,0,0,0
2013-04-08,0,0,0,0,0,0
2013-04-09,0,0,0,0,0,0
2013-04-10,0,0,0,0,0,0
2013-04-11,0,0,0,0,0,0
2013-04-12,0,0,0,0,0,0
2013-04-13,0,0,0,0,0,0
2013-04-14,0,0,0,0,0,0
2013-04-15,0,0,0,0,0,0
2013-04-16,0,0,0,0,0,0
2013-04-17,0,0,0,0,0,0
2013-04-18,0,0,0,0,0,0
2013-04-19,0,0,0,0,0,0
2013-04-20,0,0,0,0,0,0
2013-04-21,0,0,0,0,0,0
2013-04-22,0,0,0,0,0,0
2013-04-23,0,0,0,0,0,0
2013-04-24,0,0,0,0,0,0
2013-04-25,0,0,0,0,0,0
2013-04-26,0,0,0,0,0,0
2013-04-27,0,0,0,0,0,0
2013-04-28,0,0,0,0,0,0
2013-04-29,0,0,0,0,0,0
2013-04-30,0,0,0,0,0,0
2013-05-01,0,0,0,0,0,0
2013-05-02,0,0,0,0,0,0
2013-05-03,0,0,0,0,0,0
2013-05-04,0,0,0,0,0,0
2013-05-05,0,0,0,0,0,0
2013-05-06,0,0,0,0,0,0
2013-05-07,0,0,0,0,0,0
2013-05-08,0,0,0,0,0,0
2013-05-09,0,0,0,0,0,0
2013-05-10,0,0,0,0,0,0
2013-05-11,0,0,0,0,0,0
2013-05-12,0,0,0,0,0,0
2013-05-13,0,0,0,0,0,0
2013-05-14,0,0,0,0,0,0
2013-05-15,0,0,0,0,0,0
2013-05-16,0,0,0,0,0,0
2013-05-17,0,0,0,0,0,0
2013-05-18,0,0,0,0,0,0
2013-05-19,0,0,0,0,0,0
2013-05-20,0,0,0,0,0,0
2013-05-21,0,0,0,0,0,0
2013-05-22,0,0,0,0,0,0
2013-05-23,0,0,0,0,0,0
2013-05-24,0,0,0,0,0,0
2013-05-25,0,0,0,0,0,0
2013-05-26,0,0,0,0,0,0
2013-05-27,0,0,0,0,0,0
2013-05-28,0,0,0,0,0,0
2013-05-29,0,0,0,0,0,0
2013-05-30,0,0,0,0,0,0
2013-05-31,0,0,0,0,0,0
2013-06-01,0,0,0,0,0,0
2013-06-02,0,0,0,0,0,0
2013-06-03,0,0,0,0,0,0
2013-06-04,0,0,0,0,0,0
2013-06-05,0,0,0,0,0,0
2013-06-06,0,0,0,0,0,0
2013-06-07,0,0,0,0,0,0
2013-06-08,0,0,0,0,0,0
2013-06-09,0,0,0,0,0,0
2013-06-10,0,0,0,0,0,0
2013-06-11,0,0,0,0,0,0
2013-06-12,0,0,0,0,0,0
2013-06-13,0,0,0,0,0,0
2013-06-14,0,0,0,0,0,0
2013-06-15,0,0,0,0,0,0
2013-06-16,0,0,0,0,0,0
2013-06-17,0,0,0,0,0,0
2013-06-18,0,0,0,0,0,0
2013-06-19,0,0,0,0,0,0
2013-06-20,0,0,0,0,0,0
2013-06-21,0,0,0,0,0,0
2013-06-22,0,0,0,0,0,0
2013-06-23,0,0,0,0,0,0
2013-06-24,0,0,0,0,0,0
2013-06-25,0,0,0,0,0,0
2013-06-26,0,0,0,0,0,0
2013-06-27,0,0,0,0,0,0
2013-06-28,0,0,0,0,0,0
2013-06-29,0,0,0,0,0,0
2013-06-30,0,0,0,0,0,0
2013-07-01,0,0,0,0,0,0
2013-07-02,0,0,0,0,0,0
2013-07-03,0,0,0,0,0,0
2013-07-04,0,0,0,0,0,0
2013-07-05,0,0,0,0,0,0
2013-07-06,0,0,0,0,0,0
2013-07-07,0,0,0,0,0,0
2013-07-08,0,0,0,0,0,0
2013-07-09,0,0,0,0,0,0
